year,交通事故死亡者数,飲酒なし（第１当事者）,飲酒あり（第１当事者）
7,10679,7607,1391
8,9942,7083,1296
9,9942,6954,1240
10,9211,6558,1267
11,9006,6502,1257
12,9066,6554,1276
13,8747,6405,1191
14,8326,6127,997
15,7702,5897,780
16,7358,5694,710
17,6871,5285,707
